id	title	kampfhandlungen	militaerische-unterstuetzung	verhandlungen	humanitaer-klima	humanitaer-hunger	humanitaer-krankheiten	humanitaer-flucht	humanitaer_Hilfe	wirtschaft
286	UN kündigen Feuerpause im Jemen an	2	0	1	0	0	0	1	0	0
289	Mehr als 100 Tote im Jemen	3	0	0	0	0	0	0	0	0
290	Berlin stockt Hilfe für den Jemen auf	1	0	0	0	0	0	0	0	0
291	Ein Krieg mit vielen Akteuren	2	0	0	0	0	0	0	0	0
292	Zahlreiche Tote im Jemen	3	0	0	0	0	0	0	0	0
293	Dutzende Polizisten bei Anschlag auf Kaserne getötet	3	0	0	0	0	0	0	0	0
294	Emirate schießen Raketen aus Jemen ab	4	0	0	0	0	0	0	0	0
295	Streit um Verantwortung für Angriff im Jemen	2	0	1	0	0	0	0	0	0
296	Die Holzfäller aus der Wüste	1	0	0	0	0	0	0	0	0
299	Mindestens fünf Tote bei Angriffen in Saudi-Arabien und im Jemen	3	0	0	0	0	0	0	0	0
300	Wer hilft den Hungernden?	0	1	0	0	1	0	0	3	0
301	UN müssen Essensrationen für Jemen kürzen	0	0	0	0	3	0	0	0	0
302	Separatisten im Jemen widerrufen Autonomie-Erklärung	0	0	2	0	0	0	0	0	0
303	Jemenitische Regierung und Separatisten wollen sich arrangieren	0	0	2	0	0	0	0	0	0
304	Corona verschärft Hunger im Jemen	0	0	0	1	1	2	0	0	0
305	Viele Tote im Jemen	1	0	0	0	0	0	0	0	0
306	Der Krieg im Jemen ist auch unser Krieg	0	1	0	0	0	0	0	1	1
307	Eine Million Cholera-Fälle im Jemen	0	0	0	0	0	4	0	0	0
308	Jemenitischer Hafen geöffnet	1	0	0	0	0	0	0	0	0
309	Saudi-Arabien hat Ziele im Jemen bombardiert	2	0	1	0	0	0	0	0	0
310	"""Viele unterschätzen, wie gefährlich Iran ist"""	1	0	1	0	1	0	0	0	0
311	Raketenangriff auf Riad	1	0	1	0	0	0	0	0	0
312	Gefahrenquelle Iran	1	0	0	0	0	0	0	0	0
313	Der Papst, die Emirate und der Krieg im Jemen	0	0	0	0	1	0	0	0	0
314	Neue Jemen-Gespräche über Gefangenenaustausch kommende Woche	0	1	4	0	0	0	0	0	0
316	UN-Team im Jemen beschossen	1	0	0	0	0	0	0	0	0
317	Hilfe für Friedensbemühungen im Jemen	1	0	0	0	0	0	0	0	0
318	Deutschland unterstützt Jemen	0	0	2	0	0	0	0	0	0
319	Sechs Tote bei Drohnenangriff von Huthi-Rebellen auf Militärbasis	1	0	0	0	0	0	0	0	0
322	Früherer jemenitischer Präsident Salih getötet	1	1	0	0	0	0	0	0	0
323	Seitenwechsel im Jemen	3	0	0	0	0	0	0	0	0
325	Huthi-Rebellen verkünden Tod von Jemens Ex-Präsident Saleh	1	0	0	0	0	0	0	0	0
326	Seitenwechsel im Jemen	3	0	0	0	0	0	0	0	0
327	Ehemaliger Präsident Saleh offen für Gespräche	1	0	0	0	0	0	0	0	0
328	Hungertote im Jemen	0	0	0	0	1	0	0	0	0
329	Welthungerhilfe fordert bessere Krisenprävention	0	0	0	0	1	0	0	2	0
330	Notstand im Jemen wegen der Cholera	2	0	0	0	0	3	0	0	0
331	Merkels Liste	0	0	1	0	0	0	0	0	0
332	Ein Land wird ausgehungert	1	0	0	0	2	0	0	0	0
333	Humanitäre Hilfe für Hungernde im Jemen	0	0	1	0	1	0	0	2	0
334	Mehr als 130 Tote bei Kämpfen um Hafenstadt Hodeida	2	0	1	0	0	0	0	0	0
335	Schwere Gefechte im Jemen	3	0	2	0	0	0	0	0	0
336	Jetzt, auf einmal?	0	0	1	0	0	0	0	1	0
337	Weiter Krieg im Jemen	3	0	2	0	0	0	0	0	0
338	Jetzt, auf einmal?	0	0	0	0	0	0	0	1	0
339	Amerika dringt auf Fortschritte zur Beendigung des Jemen-Kriegs	0	1	0	0	0	0	0	0	0
340	Vereinigte Staaten fordern Verhandlungen innerhalb von 30 Tagen	0	0	3	0	0	0	0	0	0
341	Größte Katastrophe der Gegenwart	2	0	1	0	1	0	0	0	0
342	Arabische Ängste vor Iran	0	0	0	0	0	1	0	0	1
343	Die Ausbildung	0	0	0	0	0	0	1	0	0
344	Viele Tote bei Luftangriff im Jemen	3	0	0	0	0	0	0	0	0
346	"Papst schockiert über ""diabolischen"" Angriff auf Altenheim"	2	0	0	0	0	0	0	0	0
347	7 Millionen Menschen im Jemen unterversorgt	0	0	0	0	1	0	0	0	0
348	Jemen vor Hungersnot	0	0	0	0	3	0	0	1	0
349	Streubomben im Jemen?	2	0	0	0	0	0	0	0	0
350	Luftangriffe im Jemen	3	0	0	0	0	0	0	0	0
351	Dominosteine	0	0	1	0	0	0	0	0	0
352	Amerikaner entsenden weitere Kriegsschiffe	0	1	0	0	1	0	0	0	0
353	Obama warnt Iran vor Waffenlieferungen an Houthis	1	0	0	0	1	0	0	0	0
355	Die Saudis sind unglücklich	0	4	0	0	0	0	0	0	0
356	Politische Lösung im Jemen in weiter Ferne	0	2	0	0	0	0	0	0	0
359	Saudi-Arabien will 800 Al-Qaida-Kämpfer getötet haben	4	0	1	0	0	0	0	0	0
360	Zahlreiche Al Qaida-Kämpfer sollen im Jemen getötet worden sein	5	0	0	0	0	0	0	0	0
361	Hoffnung auf Lösung im Jemen	0	0	3	0	0	0	0	0	0
